Vehicle Type,Total Shipments,Shipments Delivered,Route,MST Distance,Trip Time,Capacity Utilization,Time Utilization,COV_UTI (Distance Utilization)
3W,5,"491, 58, 1230, 302, 982",Shop -> 491 -> 58 -> 1230 -> 302 -> 982 -> Shop,13.13,115.66,1.0,0.48,0.88
3W,5,"54, 885, 804, 1123, 597",Shop -> 54 -> 885 -> 804 -> 1123 -> 597 -> Shop,14.82,124.11,1.0,0.52,0.99
3W,5,"223, 7, 87, 190, 437",Shop -> 223 -> 7 -> 87 -> 190 -> 437 -> Shop,14.08,120.38,1.0,0.5,0.94
3W,5,"1187, 526, 704, 1201, 1046",Shop -> 1187 -> 526 -> 704 -> 1201 -> 1046 -> Shop,11.54,107.72,1.0,0.45,0.77
3W,5,"1153, 49, 154, 613, 301",Shop -> 1153 -> 49 -> 154 -> 613 -> 301 -> Shop,14.31,121.53,1.0,0.51,0.95
3W,5,"1186, 585, 1169, 688, 343",Shop -> 1186 -> 585 -> 1169 -> 688 -> 343 -> Shop,13.55,117.77,1.0,0.49,0.9
3W,5,"670, 8, 460, 534, 886",Shop -> 670 -> 8 -> 460 -> 534 -> 886 -> Shop,11.73,108.64,1.0,0.45,0.78
3W,5,"675, 384, 1221, 563, 1107",Shop -> 675 -> 384 -> 1221 -> 563 -> 1107 -> Shop,12.34,111.69,1.0,0.47,0.82
3W,5,"707, 754, 115, 1020, 1060",Shop -> 707 -> 754 -> 115 -> 1020 -> 1060 -> Shop,13.71,118.57,1.0,0.49,0.91
3W,5,"1228, 430, 964, 633, 1200",Shop -> 1228 -> 430 -> 964 -> 633 -> 1200 -> Shop,13.16,115.82,1.0,0.48,0.88
3W,5,"969, 268, 287, 131, 1072",Shop -> 969 -> 268 -> 287 -> 131 -> 1072 -> Shop,14.17,120.86,1.0,0.5,0.94
3W,5,"973, 326, 359, 1227, 295",Shop -> 973 -> 326 -> 359 -> 1227 -> 295 -> Shop,14.73,123.65,1.0,0.52,0.98
3W,5,"226, 1063, 1168, 196, 236",Shop -> 226 -> 1063 -> 1168 -> 196 -> 236 -> Shop,14.41,122.05,1.0,0.51,0.96
3W,2,"792, 1226",Shop -> 792 -> 1226 -> Shop,14.5,92.49,0.4,0.39,0.97
3W,2,"274, 1054",Shop -> 274 -> 1054 -> Shop,14.16,90.8,0.4,0.38,0.94
3W,1,1075,Shop -> 1075 -> Shop,13.85,79.24,0.2,0.33,0.92
3W,3,"212, 564, 562",Shop -> 212 -> 564 -> 562 -> Shop,14.92,104.61,0.6,0.44,0.99
3W,2,"184, 424",Shop -> 184 -> 424 -> Shop,14.82,94.08,0.4,0.39,0.99
3W,1,895,Shop -> 895 -> Shop,14.75,83.75,0.2,0.35,0.98
3W,1,960,Shop -> 960 -> Shop,14.93,84.66,0.2,0.35,1.0
4W-EV,7,"1089, 159, 23, 282, 24, 678, 959",Shop -> 1089 -> 159 -> 23 -> 282 -> 24 -> 678 -> 959 -> Shop,18.36,161.8,0.88,0.54,0.92
4W-EV,8,"255, 799, 977, 478, 101, 703, 961, 538",Shop -> 255 -> 799 -> 977 -> 478 -> 101 -> 703 -> 961 -> 538 -> Shop,17.72,168.6,1.0,0.56,0.89
4W-EV,8,"288, 345, 1255, 403, 1211, 19, 198, 909",Shop -> 288 -> 345 -> 1255 -> 403 -> 1211 -> 19 -> 198 -> 909 -> Shop,18.5,172.52,1.0,0.58,0.93
4W-EV,8,"246, 201, 253, 392, 992, 915, 557, 1118",Shop -> 246 -> 201 -> 253 -> 392 -> 992 -> 915 -> 557 -> 1118 -> Shop,19.18,175.89,1.0,0.59,0.96
4W-EV,8,"489, 957, 35, 440, 297, 1007, 490, 194",Shop -> 489 -> 957 -> 35 -> 440 -> 297 -> 1007 -> 490 -> 194 -> Shop,19.84,179.18,1.0,0.6,0.99
4W-EV,8,"279, 1000, 88, 1217, 664, 917, 90, 993",Shop -> 279 -> 1000 -> 88 -> 1217 -> 664 -> 917 -> 90 -> 993 -> Shop,19.4,177.0,1.0,0.59,0.97
4W-EV,6,"1205, 1084, 367, 1192, 1259, 546",Shop -> 1205 -> 1084 -> 367 -> 1192 -> 1259 -> 546 -> Shop,19.96,159.79,0.75,0.53,1.0
4W-EV,7,"607, 183, 550, 708, 498, 1113, 1188",Shop -> 607 -> 183 -> 550 -> 708 -> 498 -> 1113 -> 1188 -> Shop,19.62,168.11,0.88,0.56,0.98
4W-EV,1,44,Shop -> 44 -> Shop,19.12,105.62,0.12,0.35,0.96
4W-EV,2,"195, 950",Shop -> 195 -> 950 -> Shop,19.33,116.65,0.25,0.39,0.97
4W-EV,1,1263,Shop -> 1263 -> Shop,19.29,106.43,0.12,0.35,0.96
4W-EV,2,"846, 922",Shop -> 846 -> 922 -> Shop,19.68,118.4,0.25,0.39,0.98
4W-EV,1,549,Shop -> 549 -> Shop,19.8,109.02,0.12,0.36,0.99
4W-EV,2,"25, 516",Shop -> 25 -> 516 -> Shop,19.94,119.72,0.25,0.4,1.0
4W-EV,1,180,Shop -> 180 -> Shop,19.85,109.27,0.12,0.36,0.99
4W-EV,1,1018,Shop -> 1018 -> Shop,19.94,109.71,0.12,0.37,1.0
4W-EV,1,1019,Shop -> 1019 -> Shop,19.97,109.87,0.12,0.37,1.0
4W,25,"1040, 395, 284, 983, 787, 937, 245, 1066, 158, 271, 116, 1155, 892, 1093, 1185, 962, 381, 1137, 390, 647, 152, 242, 671, 1086, 128",Shop -> 1040 -> 395 -> 284 -> 983 -> 787 -> 937 -> 245 -> 1066 -> 158 -> 271 -> 116 -> 1155 -> 892 -> 1093 -> 1185 -> 962 -> 381 -> 1137 -> 390 -> 647 -> 152 -> 242 -> 671 -> 1086 -> 128 -> Shop,31.08,405.38,1.0,0.84,1.0
4W,25,"47, 749, 1247, 109, 176, 869, 898, 535, 837, 112, 358, 364, 916, 1059, 481, 471, 759, 896, 31, 71, 932, 621, 461, 1120, 1147",Shop -> 47 -> 749 -> 1247 -> 109 -> 176 -> 869 -> 898 -> 535 -> 837 -> 112 -> 358 -> 364 -> 916 -> 1059 -> 481 -> 471 -> 759 -> 896 -> 31 -> 71 -> 932 -> 621 -> 461 -> 1120 -> 1147 -> Shop,29.82,399.08,1.0,0.83,0.96
4W,25,"263, 662, 455, 221, 168, 127, 213, 628, 28, 513, 769, 123, 1032, 1045, 1130, 511, 185, 351, 581, 779, 187, 760, 905, 416, 153",Shop -> 263 -> 662 -> 455 -> 221 -> 168 -> 127 -> 213 -> 628 -> 28 -> 513 -> 769 -> 123 -> 1032 -> 1045 -> 1130 -> 511 -> 185 -> 351 -> 581 -> 779 -> 187 -> 760 -> 905 -> 416 -> 153 -> Shop,34.11,420.54,1.0,0.88,1.0
4W,25,"906, 762, 553, 649, 811, 552, 27, 865, 599, 296, 145, 565, 1215, 1003, 73, 323, 1152, 329, 751, 510, 285, 942, 765, 1094, 802",Shop -> 906 -> 762 -> 553 -> 649 -> 811 -> 552 -> 27 -> 865 -> 599 -> 296 -> 145 -> 565 -> 1215 -> 1003 -> 73 -> 323 -> 1152 -> 329 -> 751 -> 510 -> 285 -> 942 -> 765 -> 1094 -> 802 -> Shop,44.34,471.71,1.0,0.98,1.0
4W,25,"788, 537, 1097, 1027, 111, 188, 1238, 1010, 1026, 151, 789, 169, 847, 674, 1222, 987, 1223, 380, 434, 629, 105, 312, 1014, 484, 99",Shop -> 788 -> 537 -> 1097 -> 1027 -> 111 -> 188 -> 1238 -> 1010 -> 1026 -> 151 -> 789 -> 169 -> 847 -> 674 -> 1222 -> 987 -> 1223 -> 380 -> 434 -> 629 -> 105 -> 312 -> 1014 -> 484 -> 99 -> Shop,33.03,415.17,1.0,0.86,0.74
4W,25,"303, 925, 855, 901, 322, 652, 1158, 1179, 1110, 500, 260, 61, 615, 716, 217, 793, 86, 1142, 824, 698, 746, 970, 1233, 408, 1083",Shop -> 303 -> 925 -> 855 -> 901 -> 322 -> 652 -> 1158 -> 1179 -> 1110 -> 500 -> 260 -> 61 -> 615 -> 716 -> 217 -> 793 -> 86 -> 1142 -> 824 -> 698 -> 746 -> 970 -> 1233 -> 408 -> 1083 -> Shop,37.34,436.72,1.0,0.91,0.84
4W,19,"206, 693, 648, 852, 764, 1036, 851, 574, 334, 1144, 134, 623, 96, 816, 1170, 584, 118, 580, 313",Shop -> 206 -> 693 -> 648 -> 852 -> 764 -> 1036 -> 851 -> 574 -> 334 -> 1144 -> 134 -> 623 -> 96 -> 816 -> 1170 -> 584 -> 118 -> 580 -> 313 -> Shop,73.62,558.08,0.76,1.16,1.0
